ClienteID,UltimaCompra,Frecuencia,Monto,Recencia,Puntos_Recencia,Puntos_Frecuencia,Puntos_Monto,Puntaje_RFM,Segmentación
1,2024-10-05 03:09:51,3,752558.48,572,3,5,5,355,Regular
31,2024-06-07 17:11:23,1,1436.61,692,2,1,1,211,Regular
104,2026-04-29 21:46:17,324,55721975.03,1,5,5,5,555,VIP
107,2026-04-09 14:46:50,28,1875466.7,21,5,5,5,555,VIP
28614,2024-12-28 02:52:50,17,53498.35,488,3,5,4,354,Regular
28796,2026-04-30 19:09:32,169,12074955.87,0,5,5,5,555,VIP
135648,2023-01-25 13:57:27,1,10569.75,1191,1,1,1,111,En Riesgo
147607,2025-07-17 16:47:47,5,110834.19,287,4,5,5,455,Leal
176606,2024-12-23 15:54:16,14,499650.03,493,3,5,5,355,Regular
332322,2025-12-25 17:17:26,2,279572.15,126,5,5,5,555,VIP
342170,2025-07-04 17:14:17,3,77352.37,300,4,5,4,454,Leal
363038,2026-01-21 16:57:03,4,21626.75,99,5,5,2,552,VIP
380008,2025-02-28 19:49:57,1,174624.57,426,4,1,5,415,Leal
493199,2025-12-22 16:48:48,1,17038.55,129,5,1,2,512,Leal
529656,2024-05-06 10:02:40,1,202205.18,724,2,1,5,215,Regular
531443,2023-06-05 17:46:39,1,14853.51,1060,1,1,2,112,En Riesgo
557496,2023-04-27 18:39:28,8,32754.58,1099,1,5,3,153,En Riesgo
558305,2024-10-29 17:43:42,1,193.89,548,3,1,1,311,Regular
566385,2025-05-05 12:41:50,9,98526.59,360,4,5,5,455,Leal
572543,2023-10-04 22:22:51,1,32634.26,939,1,1,3,113,En Riesgo
601724,2024-09-19 16:08:26,1,103214.54,588,3,1,5,315,Regular
608046,2023-01-02 09:54:47,1,18283.29,1214,1,1,2,112,En Riesgo
632269,2023-01-11 15:36:13,1,46115.0,1205,1,1,4,114,En Riesgo
633007,2023-01-11 21:14:53,1,9615.58,1205,1,1,1,111,En Riesgo
635255,2023-01-12 17:59:40,1,2039.71,1204,1,1,1,111,En Riesgo
646339,2023-01-16 19:10:38,1,6084.19,1200,1,1,1,111,En Riesgo
659755,2024-11-30 04:55:44,2,80397.21,516,3,5,4,354,Regular
660095,2023-01-21 16:52:38,1,12000.2,1195,1,1,1,111,En Riesgo
661346,2023-01-24 18:54:13,1,165706.47,1192,1,1,5,115,En Riesgo
668856,2023-01-24 17:15:10,1,52580.74,1192,1,1,4,114,En Riesgo
673532,2023-01-26 04:23:11,1,4942.99,1190,1,1,1,111,En Riesgo
681171,2023-03-13 20:30:49,3,38197.87,1144,1,5,3,153,En Riesgo
681816,2023-02-03 19:15:02,1,139999.99,1182,1,1,5,115,En Riesgo
692387,2024-12-18 21:14:25,4,79638.32,498,3,5,4,354,Regular
693875,2023-02-06 18:50:01,1,11560.98,1179,1,1,1,111,En Riesgo
697833,2023-02-02 16:55:12,1,18416.54,1183,1,1,2,112,En Riesgo
701352,2025-07-28 14:50:49,1,17403.16,276,4,1,2,412,Leal
710057,2023-11-15 18:41:52,1,7506.54,897,1,1,1,111,En Riesgo
711349,2023-02-06 17:59:53,2,2771.53,1179,1,5,1,151,En Riesgo
712499,2025-08-09 16:28:46,1,33991.25,264,4,1,3,413,Leal
713979,2026-04-29 21:35:22,99,14127684.39,1,5,5,5,555,VIP
